town_city,main_location,second_location,address,longitude,latitude,Country,Date of first event,numbers,Site of protest for more than one day?,Source of number estimate
"Santa Fe, New Mexico",State Capitol Roundhouse,,"Santa Fe, New Mexico,State Capitol Roundhouse,USA",-105.937401,35.691540,USA,10/16/2011,USA,Yes,http://ireport.cnn.com/docs/DOC-690224?hpt=hp_bn2
"Santa Fe, NM",Capital Building,,"Santa Fe, NM,Capital Building,USA",-105.937401,35.691540,USA,10/15/2011,1000,No,http://www.facebook.com/OccupySantaFe
"Santa Rosa, California",City Hall,,"Santa Rosa, California,City Hall,Unites States",-81.783334,32.448915,Unites States,10.15.11,2500,Yes,http://www.pressdemocrat.com/article/20111015/ARTICLES/111019644
Santander,Plaza del Ayuntamiento,,"Santander,Plaza del Ayuntamiento,Spain",-5.141815,36.797915,Spain,5/15/2011,3000,No,http://www.eldiariomontanes.es/20111015/local/santander/unas-personas-participan-concentracion-201110151930.html
Sao Paulo,Vale do Anhangabaú,Viaduto do Chá,"Sao Paulo,Vale do Anhangabaú,Brazil",-46.632549,-23.551229,Brazil,10/15/2011,300,Yes,http://carosamigos.terra.com.br/index/index.php/noticias/2057-acampamento-15o-sp-permanece-organizado-mesmo-com-repressao-policial
Sarasota,Bayfront,,"Sarasota,Bayfront,United States",-82.548668,27.336580,United States,10/15/2011,200,No,http://sarasota.patch.com/articles/occupy-sarasota-joins-protests-worldwide
Sarasota Florida,waterfront,Tamiami Trail,"Sarasota Florida,waterfront,USA",-77.021976,38.877331,USA,8/10/2011,100,Yes,http://www.wmnf.org/news_stories?tag=Occupy+Sarasota
Savannah,Emmet Park,,"Savannah,Emmet Park,United States",-100.361334,39.110105,United States,9/10/2011,100,Yes,https://www.facebook.com/event.php?eid=255692711140334
science camp,,,"science camp,,Antarctica",0.000000,-81.500000,Antarctica,,,Yes,
"Seaside, Oregon",The Turnaround,City Hall,"Seaside, Oregon,The Turnaround,USA",-123.920013,45.993069,USA,8/10/2011,40,Yes,http://www.dailyastorian.com/free/protesters-occupy-seaside/article_54f13a18-f36e-11e0-afb5-001cc4c03286.html
Seattle,Westlake Park,Fourth Avenue and Pike Street,"Seattle,Westlake Park,USA",-100.361334,39.110105,USA,3/10/2011,3000,Yes,http://seattletimes.nwsource.com/html/localnews/2016527467_occupy18m.html
Seattle,Seattle Central Community College,Westlake Park,"Seattle,Seattle Central Community College,United States",-122.321297,47.615730,United States,10/29/2011,300,Yes,http://slog.thestranger.com/slog/archives/2011/10/29/sccc-occupied
Seattle,Westlake Park,,"Seattle,Westlake Park,USA",-100.361334,39.110105,USA,Unsure,200,Yes,"http://www.dailykos.com/story/2011/10/14/1026274/-Occupy-Seattle-in-Pictures:-Police-Arrest-10,-Then-Stand-Down,-But-Forbid-Sleep?via=siderecent, http://www.ibtimes.com/articles/225639/20111005/occupy-seattle-westlake-park-protest-police-arrest-wall-street.htm"
Seattle,Westlake Center,,"Seattle,Westlake Center,United States",-106.112319,37.752875,United States,10/15/2011,3000,Yes,http://seattletimes.nwsource.com/html/localnews/2016533066_occupyseattle18m.html
Seattle,Westlake Park,City Hall,"Seattle,Westlake Park,United States",-100.361334,39.110105,United States,"Sept. 26, 2011",3000-5000,Yes,http://www.seattlepi.com/local/gallery/Occupy-Seattle-heats-up-31496/photo-1675062.php
"Seattle, Wa",Westlake Park,City Hall Plaza,"Seattle, Wa,Westlake Park,USA",-100.361334,39.110105,USA,About October 1,1000+,Yes,http://search.nwsource.com/search?query=occupy+seattle&from=ST&searchtype=network
"Seattle, WA",Westlake Park,400 Pine,"Seattle, WA,Westlake Park,USA",-100.361334,39.110105,USA,"Oct, 5th",5000,Yes,http://occupyseattle.org
Seville,Plaza de la Encarnación,,"Seville,Plaza de la Encarnación,Spain",-1.889839,38.029045,Spain,10/15/2011,30000,No,http://www.sevillaactualidad.com/noticias/sevilla/46-sociedad/12627-sevilla-se-suma-a-la-manifestacion-mundial-del-15-de-octubre.html
Sherbrooke,Hôtel de ville,,"Sherbrooke,Hôtel de ville,Canada",-71.860053,46.375623,Canada,15 octobre 2011,150,Yes,http://bit.ly/qOKyyx
"Shreveport, Louisiana",Downtown,,"Shreveport, Louisiana,Downtown,United States",-91.186089,30.449056,United States,10/15/2011,100 (see comments section of page listed),Yes,http://www.ksla.com/story/15702839/occupy-shreveport-rallies-downtown
Sidi Bouzid,governor's office,,"Sidi Bouzid,governor's office,Tunisia",9.561540,33.903775,Tunisia,12/7/2010,,Yes,http://en.wikipedia.org/wiki/Mohamed_Bouazizi#Confiscation_of_wares_and_self-immolation
Singapore,Raffles Place,,"Singapore,Raffles Place,Singapore",104.013359,1.293210,Singapore,10/15/2011,20,No,http://www.asiaone.com/News/AsiaOne%2BNews/Singapore/Story/A1Story20111016-305317.html
Sioux Falls SD,12th st,,"Sioux Falls SD,12th st,usa",-96.731277,43.545349,usa,october 15th,30,Yes,https://www.facebook.com/#!/pages/Occupy-SD-SiouxFalls/219761291422162
Skopje,City centre,,"Skopje,City centre,Macedonia",21.429934,41.994755,Macedonia,15.10.2011,50,No,
"Sonoma, CA",Plaza,,"Sonoma, CA,Plaza,USA",-101.957064,48.023180,USA,10/14/2011,300,No,Sonomanews.com
Sonora California,Court House Park,,"Sonora California,Court House Park,USA",-100.361334,39.110105,USA,10/15/2011,200,Yes,http://www.uniondemocrat.com/20111017105059/News/Local-News/Protesters-zombies-occupy-park
"Sonora, CA USA",Courthouse Park,,"Sonora, CA USA,Courthouse Park,Tuolumne",-120.235786,37.964684,Tuolumne,10/15/2011,200,Yes,http://goo.gl/u1hjL
South Bend,Park front of Morris,Jefferson and Michigan front of Wells Fargo,"South Bend,Park front of Morris,United State",-86.254044,41.679050,United State,8/10/2011,100,Yes,http://www.facebook.com/OccupySouthBend
"South Bend, IN",130 S. Main,,"South Bend, IN,130 S. Main,United States",-76.060243,42.195542,United States,"October 8th, 2011",100,Yes,"http://www.wsbt.com/news/wsbt-south-bend-gets-occupied-downtown-protest-draws-100-20111008,0,507813.story"
"South Bend, Indiana",Civic Center Park,,"South Bend, Indiana,Civic Center Park,United States",-100.361334,39.110105,United States,8/10/2011,500,Yes,http://www.facebook.com/groups/OccupySouthBend/members/
spartanburg,daniel morgan square,,"spartanburg,daniel morgan square,USA",-68.307109,47.093990,USA,10/13/2011,200,Yes,http://www2.wspa.com/news/2011/oct/13/14/occupy-wall-street-movement-spreads-carolinas-ar-2536180/
Spokane,On Monroe St. slightly north of where Spokane Falls Blvd. intersects Monroe.,,"Spokane,On Monroe St. slightly north of where Spokane Falls Blvd. intersects Monroe.,United States",-73.206135,41.334161,United States,10/15/2011,100,Yes,http://www.facebook.com/OccupySpokane#!/OccupySpokane?sk=info
Spokane,Riverside and Monroe,,"Spokane,Riverside and Monroe,USA",-92.078899,32.525219,USA,,1000,Yes,http://search.nwsource.com/search?from=ST&searchtype=network&query=Spokane+occupy&x=15&y=8
Spokane,"Downtown, Spokane Club",,"Spokane,Downtown, Spokane Club,United States of America",-90.348392,37.213553,United States of America,October 1 (?),1000,Yes,http://seattletimes.nwsource.com/html/localnews/2016526285_apwaoccupyspokane.html?syndication=rss
"Spokane, WA",Riverside and Monroe,,"Spokane, WA,Riverside and Monroe,USA",-117.427582,47.658890,USA,,2000,Yes,http://www.occupyspokane.org/#!
"Spokane, WA",Riverside and Monroe,,"Spokane, WA,Riverside and Monroe,United States Of America",-117.427582,47.658890,United States Of America,1/10/2011,1500,Yes,http://www.suite101.com/news/spokane-media-buries-2000-spokane-protesters-oct-16-2011--a393445
"Spokane, Washington",Bank of America,Wells Fargo Bank,"Spokane, Washington,Bank of America,USA",-94.539926,33.812394,USA,9/25/2011,700,Yes,http://www.spokesman.com/picture-stories/occupy-spokane-march-downtown-spokane/
"Spokane, Washington",Bank of America,Wells Fargo Bank,"Spokane, Washington,Bank of America,USA",-94.539926,33.812394,USA,9/25/2011,700,Yes,http://www.spokesman.com/picture-stories/occupy-spokane-march-downtown-spokane/
Springfield,Park Central Square,The Kitchen (A local facility for needy to get food),"Springfield,Park Central Square,USA",-76.145814,43.285545,USA,10/15/2011,Hundreds,No,http://www.facebook.com/#!/OccupySpringfieldMO
St. John's,Harbourview Park,,"St. John's,Harbourview Park,Canada",-99.969409,50.623685,Canada,Oct 15th,100+,Yes,http://www.facebook.com/#!/occupyNL
"St. John's, Newfoundland",Harbourside Park,,"St. John's, Newfoundland,Harbourside Park,Canada",-99.969409,50.623685,Canada,10/15/2011,60,Yes,http://theindependent.ca/2011/10/16/blog-occupy-newfoundland-day-one/
"St. John's, Newfoundland",Harbour's Park,,"St. John's, Newfoundland,Harbour's Park,Canada",-99.969409,50.623685,Canada,10/15/2011,20,Yes,http://ntv.ca/video/?p=17341
"St. John's, Newfoundland & Labrador",,,"St. John's, Newfoundland & Labrador,,Canada",-52.711788,47.561241,Canada,October 15th,,Yes,http://www.cbc.ca/news/canada/newfoundland-labrador/story/2011/10/15/nl-occupy-stjohns-.html
